cir,ur,label
28,32,hell
23,12,unstable
22,5,unstable
20,13,unstable
27,47,hell
19,61,hell
11,17,unstable
26,22,hell
28,51,hell
22,10,unstable
29,29,hell
21,33,hell
12,45,hell
13,53,hell
21,60,hell
4,51,hell
15,22,unstable
11,33,unstable
27,16,unstable
12,61,hell
0,54,hell
18,44,hell
23,21,unstable
20,53,hell
27,45,hell
13,13,unstable
29,45,hell
8,40,hell
1,39,unstable
10,10,unstable
16,51,hell
28,36,hell
8,30,unstable
2,46,hell
3,16,unstable
27,54,hell
14,47,hell
6,25,unstable
1,9,unstable
2,46,hell
27,38,hell
12,15,unstable
4,60,hell
24,17,unstable
9,35,unstable
19,6,unstable
6,13,unstable
18,41,hell
19,43,hell
25,41,hell
17,14,unstable
3,10,unstable
14,47,hell
22,21,unstable
27,59,hell
20,4,unstable
9,18,unstable
18,6,unstable
15,15,unstable
23,4,unstable
19,35,hell
25,44,hell
20,6,unstable
26,43,hell
28,3,unstable
29,28,hell
6,18,unstable
26,44,hell
10,26,unstable
18,56,hell
9,30,unstable
6,25,unstable
18,20,unstable
10,26,unstable
17,60,hell
7,19,unstable
13,27,unstable
20,40,hell
4,51,hell
16,9,unstable
4,49,hell
5,51,hell
15,23,unstable
5,19,unstable
26,39,hell
3,27,unstable
5,48,hell
6,32,unstable
30,24,hell
10,11,unstable
24,35,hell
20,46,hell
30,26,hell
28,45,hell
24,12,unstable
5,24,unstable
12,57,hell
11,4,unstable
30,21,hell
2,20,unstable
2,39,unstable
3,39,unstable
23,37,hell
13,56,hell
6,20,unstable
11,34,hell
16,9,unstable
8,13,unstable
19,42,hell
6,7,unstable
27,17,unstable
22,15,unstable
8,26,unstable
5,37,unstable
5,45,hell
23,54,hell
30,6,unstable
8,20,unstable
22,4,unstable
26,41,hell
10,57,hell
9,6,unstable
9,52,hell
2,24,unstable
10,14,unstable
11,13,unstable
18,9,unstable
28,38,hell
25,45,hell
1,47,hell
15,51,hell
26,8,unstable
22,34,hell
30,29,hell
7,44,hell
11,22,unstable
5,16,unstable
16,44,hell
21,43,hell
24,22,hell
0,53,hell
23,28,hell
12,30,unstable
18,50,hell
9,50,hell
11,13,unstable
3,61,hell
1,21,unstable
15,34,hell
25,15,unstable
7,60,hell
18,44,hell
8,20,unstable
12,9,unstable
7,40,hell
24,3,unstable
24,3,unstable
21,14,unstable
12,46,hell
1,4,livable
9,9,unstable
4,54,hell
10,46,hell
20,56,hell
19,13,unstable
3,11,unstable
4,34,unstable
8,35,unstable
23,47,hell
30,44,hell
6,41,hell
8,55,hell
8,53,hell
10,17,unstable
30,8,unstable
4,53,hell
18,29,hell
11,16,unstable
24,35,hell
5,54,hell
2,53,hell
3,16,unstable
28,39,hell
0,13,unstable
12,9,unstable
19,14,unstable
18,53,hell
27,58,hell
8,20,unstable
5,32,unstable
21,23,unstable
28,6,unstable
20,26,hell
16,5,unstable
0,13,unstable
3,32,unstable
18,46,hell
21,40,hell
25,50,hell
14,14,unstable
16,58,hell
2,5,livable
9,33,unstable
21,6,unstable
2,27,unstable
24,41,hell
1,36,unstable
5,19,unstable
13,16,unstable
0,55,hell
0,12,unstable
9,50,hell
25,28,hell
11,19,unstable
29,36,hell
22,58,hell
14,55,hell
19,16,unstable
7,53,hell
8,57,hell
19,28,hell
18,26,unstable
4,40,unstable
19,39,hell
16,24,unstable
3,5,livable
23,20,unstable
18,54,hell
3,47,hell
18,42,hell
18,8,unstable
30,53,hell
8,24,unstable
2,24,unstable
16,26,unstable
20,61,hell
20,7,unstable
25,51,hell
26,52,hell
5,16,unstable
26,12,unstable
23,34,hell
6,51,hell
3,55,hell
23,51,hell
0,48,hell
13,53,hell
24,7,unstable
11,45,hell
8,55,hell
0,61,hell
9,25,unstable
24,5,unstable
2,33,unstable
29,59,hell
27,17,unstable
22,59,hell
2,48,hell
16,12,unstable
8,49,hell
7,7,unstable
29,34,hell
18,6,unstable
14,45,hell
15,13,unstable
13,4,unstable
17,47,hell
16,40,hell
20,58,hell
25,45,hell
15,20,unstable
10,13,unstable
13,20,unstable
12,48,hell
16,6,unstable
5,56,hell
10,34,unstable
9,20,unstable
7,8,unstable
4,31,unstable
0,29,unstable
27,55,hell
23,5,unstable
15,20,unstable
15,17,unstable
26,19,hell
10,15,unstable
27,16,unstable
7,43,hell
14,39,hell
2,20,unstable
23,20,unstable
6,31,unstable
26,61,hell
4,17,unstable
13,26,unstable
8,11,unstable
0,55,hell
16,28,unstable
10,31,unstable
29,42,hell
4,19,unstable
24,52,hell
8,45,hell
27,22,hell
28,11,unstable
21,37,hell
1,8,livable
4,18,unstable
22,24,hell
2,13,unstable
6,24,unstable
20,30,hell
7,55,hell
26,3,unstable
23,58,hell
18,3,unstable
28,11,unstable
3,46,hell
29,42,hell
1,61,hell
23,4,unstable
8,12,unstable
6,46,hell
14,10,unstable
23,18,unstable
7,52,hell
4,41,hell
1,16,unstable
5,50,hell
1,45,hell
5,43,hell
3,11,unstable
19,45,hell
1,54,hell
3,23,unstable
26,42,hell
0,39,unstable
8,3,unstable
15,60,hell
22,31,hell
24,38,hell
13,53,hell
29,36,hell
28,38,hell
19,45,hell
14,8,unstable
17,46,hell
9,6,unstable
5,60,hell
27,15,unstable
3,18,unstable
25,29,hell
7,50,hell
6,22,unstable
28,10,unstable
30,13,unstable
10,7,unstable
9,57,hell
20,44,hell
0,27,unstable
5,19,unstable
6,61,hell
21,44,hell
15,42,hell
12,16,unstable
16,8,unstable
8,59,hell
5,44,hell
9,46,hell
30,24,hell
11,3,unstable
29,8,unstable
28,21,hell
25,31,hell
8,35,unstable
14,6,unstable
0,8,livable
14,31,hell
22,21,unstable
25,39,hell
15,35,hell
22,52,hell
13,50,hell
17,44,hell
19,41,hell
24,9,unstable
9,45,hell
29,34,hell
28,47,hell
4,35,unstable
24,16,unstable
19,41,hell
8,27,unstable
9,20,unstable
20,33,hell
6,57,hell
27,36,hell
12,9,unstable
20,24,unstable
25,22,hell
7,56,hell
10,37,hell
10,6,unstable
6,42,hell
16,11,unstable
25,49,hell
19,45,hell
2,60,hell
26,55,hell
9,18,unstable
25,59,hell
20,3,unstable
29,50,hell
29,24,hell
23,14,unstable
12,57,hell
15,45,hell
16,25,unstable
14,55,hell
16,29,hell
28,7,unstable
24,4,unstable
29,43,hell
12,60,hell
25,28,hell
10,55,hell
0,29,unstable
10,53,hell
5,59,hell
28,55,hell
8,9,unstable
4,45,hell
17,38,hell
11,49,hell
14,54,hell
3,56,hell
7,3,unstable
12,52,hell
13,20,unstable
16,24,unstable
24,32,hell
20,34,hell
15,37,hell
13,46,hell
19,37,hell
8,58,hell
13,59,hell
8,51,hell
20,45,hell
12,51,hell
19,35,hell
8,19,unstable
28,32,hell
0,60,hell
30,5,unstable
2,34,unstable
26,43,hell
28,36,hell
24,31,hell
28,50,hell
18,28,hell
7,18,unstable
24,31,hell
0,57,hell
19,54,hell
11,48,hell
20,52,hell
0,45,hell
27,31,hell
2,31,unstable
26,18,unstable
1,44,hell
27,43,hell
19,51,hell
19,3,unstable
6,20,unstable
9,30,unstable
29,12,unstable
4,45,hell
5,21,unstable
14,34,hell
19,19,unstable
22,22,unstable
15,10,unstable
4,10,unstable
22,39,hell
8,50,hell
1,42,unstable
28,16,unstable
19,56,hell
23,6,unstable
1,57,hell
3,12,unstable
19,11,unstable
24,38,hell
18,50,hell
9,60,hell
6,61,hell
26,23,hell
10,10,unstable
1,14,unstable
4,52,hell
0,42,unstable
5,8,unstable
17,27,unstable
13,11,unstable
11,57,hell
30,39,hell
0,30,unstable
29,5,unstable
5,54,hell
8,32,unstable
21,8,unstable
25,24,hell
15,35,hell
17,30,hell
16,7,unstable
10,18,unstable
27,51,hell
13,14,unstable
20,43,hell
8,56,hell
19,53,hell
11,39,hell
2,36,unstable
11,38,hell
5,48,hell
0,20,unstable
8,34,unstable
26,17,unstable
3,28,unstable
14,43,hell
30,42,hell
2,7,livable
14,13,unstable
6,41,hell
16,28,unstable
19,37,hell
10,50,hell
18,47,hell
29,31,hell
22,3,unstable
1,58,hell
1,55,hell
30,28,hell
7,14,unstable
12,33,hell
24,39,hell
18,13,unstable
26,28,hell
9,42,hell
23,7,unstable
17,17,unstable
12,53,hell
17,7,unstable
22,26,hell
10,55,hell
8,56,hell
25,16,unstable
22,36,hell
2,13,unstable
9,57,hell
5,32,unstable
6,54,hell
3,28,unstable
5,55,hell
3,10,unstable
16,40,hell
13,50,hell
15,55,hell
22,15,unstable
20,55,hell
16,4,unstable
16,21,unstable
4,35,unstable
11,22,unstable
29,20,hell
13,8,unstable
15,55,hell
1,7,livable
19,25,unstable
17,3,unstable
10,35,hell
2,43,hell
2,41,unstable
18,29,hell
28,23,hell
3,9,unstable
17,51,hell
27,15,unstable
28,14,unstable
30,56,hell
11,11,unstable
12,7,unstable
23,43,hell
15,6,unstable
2,26,unstable
10,34,unstable
16,17,unstable
30,57,hell
10,54,hell
6,27,unstable
15,5,unstable
10,7,unstable
7,5,unstable
1,55,hell
25,37,hell
8,15,unstable
29,50,hell
19,32,hell
2,30,unstable
12,37,hell
16,22,unstable
29,27,hell
6,3,livable
14,41,hell
18,39,hell
2,3,livable
12,7,unstable
0,21,unstable
11,38,hell
23,31,hell
17,61,hell
22,45,hell
9,57,hell
26,13,unstable
17,61,hell
28,42,hell
1,43,unstable
10,57,hell
23,50,hell
28,40,hell
13,5,unstable
29,25,hell
19,37,hell
26,35,hell
20,51,hell
1,13,unstable
8,4,unstable
10,49,hell
22,42,hell
15,23,unstable
0,21,unstable
28,51,hell
16,17,unstable
3,45,hell
20,44,hell
4,31,unstable
10,9,unstable
23,31,hell
16,3,unstable
10,30,unstable
26,36,hell
0,47,hell
29,46,hell
2,42,unstable
20,47,hell
13,26,unstable
9,13,unstable
1,57,hell
19,37,hell
17,8,unstable
2,39,unstable
26,18,unstable
24,45,hell
19,43,hell
13,29,unstable
23,35,hell
28,12,unstable
30,8,unstable
19,33,hell
22,34,hell
22,49,hell
9,7,unstable
29,43,hell
8,5,unstable
27,43,hell
15,15,unstable
7,36,unstable
29,60,hell
17,6,unstable
11,41,hell
29,36,hell
14,55,hell
17,7,unstable
15,18,unstable
18,15,unstable
28,52,hell
26,33,hell
6,53,hell
8,8,unstable
14,57,hell
4,51,hell
10,45,hell
5,30,unstable
19,29,hell
28,23,hell
28,32,hell
30,31,hell
13,27,unstable
25,54,hell
25,34,hell
1,19,unstable
20,34,hell
27,41,hell
4,21,unstable
23,14,unstable
7,61,hell
11,16,unstable
4,49,hell
24,27,hell
23,61,hell
23,18,unstable
8,17,unstable
26,24,hell
26,21,hell
14,56,hell
1,19,unstable
25,47,hell
14,24,unstable
8,61,hell
6,60,hell
7,40,hell
24,29,hell
16,34,hell
10,4,unstable
9,53,hell
3,23,unstable
25,24,hell
2,3,livable
1,37,unstable
24,24,hell
10,22,unstable
18,61,hell
4,25,unstable
7,37,unstable
6,41,hell
14,40,hell
27,28,hell
19,5,unstable
7,23,unstable
20,5,unstable
21,6,unstable
22,20,unstable
6,36,unstable
2,34,unstable
17,45,hell
25,46,hell
0,61,hell
8,18,unstable
25,33,hell
28,7,unstable
27,15,unstable
3,13,unstable
11,49,hell
2,38,unstable
28,48,hell
27,16,unstable
7,15,unstable
8,3,unstable
24,12,unstable
20,16,unstable
26,50,hell
18,19,unstable
12,32,unstable
18,43,hell
24,45,hell
10,55,hell
20,11,unstable
16,29,hell
2,61,hell
0,51,hell
5,8,unstable
1,6,livable
3,40,unstable
2,40,unstable
27,19,hell
30,14,unstable
26,22,hell
21,22,unstable
17,29,hell
7,17,unstable
27,60,hell
25,56,hell
25,42,hell
18,26,unstable
5,24,unstable
3,39,unstable
0,18,unstable
19,34,hell
22,55,hell
23,3,unstable
4,10,unstable
0,19,unstable
23,9,unstable
18,19,unstable
0,33,unstable
10,58,hell
20,61,hell
0,21,unstable
12,9,unstable
7,18,unstable
20,58,hell
7,44,hell
23,28,hell
11,42,hell
9,45,hell
27,40,hell
7,59,hell
21,24,hell
7,30,unstable
10,31,unstable
16,48,hell
20,51,hell
3,17,unstable
13,47,hell
14,40,hell
5,37,unstable
23,26,hell
5,37,unstable
3,40,unstable
22,22,unstable
3,13,unstable
15,44,hell
21,55,hell
16,19,unstable
11,7,unstable
23,30,hell
16,21,unstable
25,44,hell
3,24,unstable
23,29,hell
6,41,hell
18,40,hell
26,31,hell
21,43,hell
28,36,hell
13,27,unstable
8,25,unstable
4,43,hell
7,43,hell
22,41,hell
2,41,unstable
4,37,unstable
19,9,unstable
18,33,hell
19,16,unstable
24,54,hell
28,27,hell
19,18,unstable
19,5,unstable
20,14,unstable
7,53,hell
25,35,hell
20,28,hell
23,13,unstable
5,40,hell
6,13,unstable
18,16,unstable
13,37,hell
4,47,hell
25,30,hell
10,57,hell
29,60,hell
6,26,unstable
10,55,hell
25,52,hell
25,16,unstable
16,36,hell
28,34,hell
22,47,hell
2,30,unstable
29,30,hell
22,29,hell
3,13,unstable
20,42,hell
17,61,hell
23,8,unstable
29,31,hell
29,10,unstable
7,35,unstable
13,45,hell
21,12,unstable
8,34,unstable
28,36,hell
4,19,unstable
19,41,hell
25,11,unstable
16,15,unstable
10,49,hell
24,9,unstable
26,56,hell
10,19,unstable
11,23,unstable
15,43,hell
27,53,hell
10,26,unstable
5,5,unstable
18,18,unstable
16,54,hell
3,30,unstable
3,4,livable
0,54,hell
28,4,unstable
12,5,unstable
0,49,hell
3,21,unstable
27,32,hell
22,61,hell
17,43,hell
24,42,hell
15,48,hell
19,16,unstable
14,25,unstable
26,55,hell
22,45,hell
28,25,hell
5,18,unstable
7,29,unstable
29,23,hell
14,36,hell
22,55,hell
6,11,unstable
20,34,hell
7,21,unstable
17,12,unstable
26,56,hell
1,47,hell
21,25,hell
24,25,hell
13,11,unstable
9,29,unstable
5,20,unstable
23,30,hell
8,15,unstable
30,13,unstable
23,16,unstable
15,40,hell
7,25,unstable
19,30,hell
24,29,hell
11,14,unstable
13,60,hell
18,25,unstable
9,32,unstable
26,36,hell
5,27,unstable
1,8,livable
25,24,hell
28,49,hell
12,45,hell
21,3,unstable
18,30,hell
5,52,hell
9,18,unstable
28,15,unstable
4,25,unstable
27,3,unstable
1,4,livable
5,47,hell
18,19,unstable
22,56,hell
25,57,hell
22,41,hell
16,38,hell
13,34,hell
29,22,hell
0,11,unstable
29,41,hell
26,25,hell
11,14,unstable
7,24,unstable
14,17,unstable
21,50,hell
5,39,unstable
0,57,hell
23,60,hell
23,17,unstable
17,48,hell
16,19,unstable
19,51,hell
2,53,hell
4,34,unstable
14,50,hell
28,17,hell
4,29,unstable
2,36,unstable
23,15,unstable
1,56,hell
2,7,livable
28,31,hell
25,20,hell
20,59,hell
29,49,hell
27,13,unstable
25,48,hell
4,3,livable
18,42,hell
23,19,unstable
18,15,unstable
22,9,unstable
2,59,hell
16,28,unstable
24,32,hell
23,6,unstable
23,61,hell
7,41,hell
14,37,hell
9,10,unstable
20,41,hell
14,16,unstable
14,32,hell
27,7,unstable
1,12,unstable
3,41,unstable
26,35,hell
16,46,hell
7,15,unstable
30,25,hell
8,29,unstable
29,48,hell
28,49,hell
11,16,unstable
20,45,hell
12,15,unstable
14,56,hell
14,40,hell
2,24,unstable
0,20,unstable
23,57,hell
13,41,hell
22,31,hell
17,42,hell
2,45,hell
16,32,hell
29,54,hell
24,58,hell
18,53,hell
16,5,unstable
28,36,hell
21,23,unstable
29,36,hell
6,48,hell
15,57,hell
1,60,hell
20,10,unstable
29,13,unstable
29,35,hell
1,19,unstable
21,26,hell
0,35,unstable
27,13,unstable
11,14,unstable
6,10,unstable
0,33,unstable
12,60,hell
0,60,hell
2,8,unstable
15,50,hell
30,29,hell
23,40,hell
9,49,hell
3,17,unstable
4,24,unstable
27,10,unstable
0,11,unstable
8,28,unstable
27,30,hell
4,26,unstable
30,57,hell
20,46,hell
27,26,hell
2,58,hell
21,48,hell
9,14,unstable
29,47,hell
0,8,livable
7,49,hell
13,9,unstable
23,23,hell
15,10,unstable
1,60,hell
14,22,unstable
7,58,hell
1,14,unstable
8,36,unstable
5,53,hell
12,18,unstable
30,17,hell
20,59,hell
14,38,hell
25,8,unstable
4,36,unstable
28,50,hell
27,10,unstable
18,59,hell
19,13,unstable
3,21,unstable
13,25,unstable
0,44,unstable
0,59,hell
22,39,hell
19,13,unstable
11,3,unstable
14,50,hell
7,43,hell
19,11,unstable
22,23,hell
3,14,unstable
13,41,hell
17,58,hell
22,4,unstable
13,28,unstable
4,32,unstable
12,30,unstable
28,30,hell
11,29,unstable
15,28,unstable
12,29,unstable
19,20,unstable
16,32,hell
11,51,hell
7,21,unstable
28,36,hell
17,28,hell
4,39,unstable
6,40,hell
1,35,unstable
30,13,unstable
15,3,unstable
29,33,hell
6,23,unstable
12,34,hell
9,9,unstable
11,55,hell
1,46,hell
27,7,unstable
26,17,unstable
1,31,unstable
30,47,hell
11,35,hell
9,42,hell
29,56,hell
10,28,unstable
21,60,hell
21,3,unstable
13,57,hell
16,58,hell
2,5,livable
16,47,hell
8,56,hell
6,49,hell
28,11,unstable
8,41,hell
28,16,unstable
11,56,hell
19,5,unstable
11,39,hell
12,31,unstable
14,42,hell
19,13,unstable
27,6,unstable
5,22,unstable
8,17,unstable
30,41,hell
6,24,unstable
13,43,hell
8,58,hell
12,61,hell
9,18,unstable
6,18,unstable
12,6,unstable
23,26,hell
26,47,hell
4,3,livable
16,35,hell
26,25,hell
28,52,hell
0,32,unstable
2,22,unstable
17,21,unstable
3,30,unstable
26,26,hell
17,48,hell
11,35,hell
9,46,hell
24,13,unstable
15,17,unstable
27,15,unstable
10,22,unstable
9,44,hell
7,19,unstable
19,60,hell
23,53,hell
5,25,unstable
3,55,hell
26,43,hell
28,10,unstable
26,38,hell
1,19,unstable
10,29,unstable
12,51,hell
12,4,unstable
22,15,unstable
18,57,hell
20,43,hell
2,42,unstable
10,18,unstable
8,34,unstable
4,28,unstable
3,17,unstable
11,60,hell
29,18,hell
27,37,hell
30,3,unstable
5,44,hell
27,53,hell
25,41,hell
27,13,unstable
23,31,hell
20,16,unstable
3,28,unstable
4,48,hell
5,51,hell
1,31,unstable
1,3,livable
6,56,hell
29,29,hell
7,19,unstable
24,49,hell
13,47,hell
24,59,hell
29,45,hell
0,37,unstable
2,14,unstable
2,16,unstable
14,46,hell
18,33,hell
25,58,hell
24,32,hell
2,9,unstable
24,36,hell
14,33,hell
6,19,unstable
9,10,unstable
2,3,livable
25,28,hell
7,35,unstable
23,14,unstable
23,49,hell
28,24,hell
21,5,unstable
10,41,hell
27,21,hell
18,57,hell
13,43,hell
18,11,unstable
5,12,unstable
11,3,unstable
20,38,hell
18,15,unstable
13,7,unstable
3,29,unstable
5,33,unstable
29,9,unstable
20,21,unstable
17,48,hell
2,42,unstable
7,43,hell
21,32,hell
10,3,unstable
1,59,hell
17,18,unstable
29,36,hell
13,13,unstable
23,14,unstable
1,23,unstable
5,46,hell
25,18,unstable
24,31,hell
20,29,hell
25,6,unstable
0,49,hell
9,50,hell
8,16,unstable
11,26,unstable
27,15,unstable
29,26,hell
1,36,unstable
12,34,hell
15,44,hell
16,52,hell
10,55,hell
17,53,hell
0,24,unstable
23,29,hell
30,16,hell
30,54,hell
13,30,unstable
14,23,unstable
17,23,unstable
4,44,hell
19,30,hell
11,16,unstable
28,7,unstable
24,34,hell
19,36,hell
18,52,hell
5,49,hell
8,27,unstable
24,45,hell
16,48,hell
30,47,hell
19,48,hell
4,9,unstable
16,38,hell
21,40,hell
20,48,hell
13,53,hell
30,53,hell
9,6,unstable
10,15,unstable
30,6,unstable
0,28,unstable
16,33,hell
17,11,unstable
13,25,unstable
4,11,unstable
9,29,unstable
6,42,hell
26,31,hell
7,41,hell
11,37,hell
2,60,hell
10,45,hell
17,14,unstable
27,9,unstable
11,26,unstable
22,40,hell
9,45,hell
20,49,hell
4,16,unstable
9,6,unstable
1,20,unstable
2,55,hell
9,55,hell
28,39,hell
0,29,unstable
10,6,unstable
2,10,unstable
19,31,hell
3,4,livable
21,25,hell
30,20,hell
8,46,hell
24,52,hell
9,55,hell
15,25,unstable
8,52,hell
21,29,hell
10,48,hell
19,50,hell
27,40,hell
28,54,hell
5,26,unstable
7,24,unstable
5,17,unstable
14,45,hell
5,8,unstable
3,40,unstable
11,33,unstable
20,42,hell
17,19,unstable
6,53,hell
24,59,hell
9,30,unstable
30,23,hell
1,3,livable
10,41,hell
21,52,hell
30,40,hell
2,53,hell
7,28,unstable
0,45,hell
4,18,unstable
28,32,hell
15,5,unstable
25,25,hell
4,44,hell
15,56,hell
20,16,unstable
5,3,livable
22,43,hell
8,12,unstable
14,22,unstable
20,14,unstable
19,25,unstable
15,4,unstable
0,57,hell
0,61,hell
15,37,hell
3,21,unstable
2,37,unstable
8,15,unstable
22,8,unstable
9,5,unstable
24,17,unstable
0,40,unstable
14,14,unstable
22,4,unstable
20,56,hell
27,37,hell
4,41,hell
7,7,unstable
2,49,hell
2,4,livable
1,37,unstable
4,8,unstable
0,13,unstable
19,55,hell
17,39,hell
23,58,hell
29,7,unstable
7,24,unstable
29,35,hell
2,17,unstable
2,19,unstable
18,12,unstable
4,20,unstable
5,3,livable
29,45,hell
1,40,unstable
16,33,hell
27,21,hell
8,59,hell
21,52,hell
0,23,unstable
29,33,hell
29,14,unstable
18,58,hell
5,39,unstable
30,47,hell
15,37,hell
17,35,hell
24,26,hell
29,23,hell
14,36,hell
24,12,unstable
10,27,unstable
7,17,unstable
5,22,unstable
11,29,unstable
26,18,unstable
19,35,hell
13,30,unstable
5,31,unstable
21,53,hell
3,51,hell
22,59,hell
30,56,hell
10,51,hell
8,50,hell
15,37,hell
19,39,hell
11,26,unstable
21,57,hell
13,21,unstable
22,42,hell
14,51,hell
9,5,unstable
5,4,livable
2,5,livable
13,46,hell
15,17,unstable
7,59,hell
29,28,hell
8,3,unstable
21,14,unstable
14,32,hell
21,19,unstable
3,27,unstable
10,18,unstable
3,51,hell
0,38,unstable
15,59,hell
0,41,unstable
12,17,unstable
30,44,hell
27,40,hell
27,24,hell
28,27,hell
27,31,hell
5,18,unstable
23,46,hell
4,49,hell
6,29,unstable
13,15,unstable
14,7,unstable
10,26,unstable
19,46,hell
0,14,unstable
1,49,hell
23,52,hell
7,20,unstable
9,41,hell
20,38,hell
19,50,hell
15,44,hell
26,54,hell
4,49,hell
20,15,unstable
0,35,unstable
5,10,unstable
18,39,hell
29,47,hell
17,46,hell
4,18,unstable
29,14,unstable
22,15,unstable
16,5,unstable
22,51,hell
15,28,unstable
30,53,hell
5,26,unstable
23,54,hell
11,10,unstable
28,60,hell
10,22,unstable
14,56,hell
28,30,hell
13,41,hell
26,13,unstable
2,49,hell
19,44,hell
11,15,unstable
27,27,hell
29,4,unstable
25,50,hell
9,13,unstable
9,34,unstable
29,27,hell
8,40,hell
14,3,unstable
9,3,unstable
11,37,hell
18,51,hell
20,16,unstable
0,45,hell
22,34,hell
1,27,unstable
9,11,unstable
8,39,hell
1,34,unstable
0,49,hell
5,47,hell
21,58,hell
20,45,hell
22,60,hell
13,19,unstable
20,43,hell
21,25,hell
20,41,hell
17,18,unstable
24,32,hell
16,39,hell
7,22,unstable
30,45,hell
17,41,hell
17,59,hell
30,10,unstable
8,17,unstable
1,12,unstable
26,56,hell
1,24,unstable
12,30,unstable
17,11,unstable
22,28,hell
27,12,unstable
16,7,unstable
5,42,hell
9,47,hell
5,39,unstable
4,8,unstable
17,60,hell
1,37,unstable
24,29,hell
29,30,hell
15,47,hell
30,60,hell
11,5,unstable
20,49,hell
20,37,hell
24,33,hell
14,17,unstable
25,37,hell
9,59,hell
10,48,hell
23,3,unstable
29,47,hell
12,53,hell
23,60,hell
23,32,hell
15,59,hell
23,7,unstable
27,12,unstable
24,57,hell
23,37,hell
10,30,unstable
16,53,hell
15,23,unstable
21,61,hell
12,47,hell
17,17,unstable
28,50,hell
8,13,unstable
23,37,hell
11,26,unstable
17,39,hell
26,59,hell
30,30,hell
1,53,hell
22,56,hell
25,30,hell
29,49,hell
13,14,unstable
19,35,hell
26,11,unstable
21,27,hell
27,35,hell
15,41,hell
6,15,unstable
6,34,unstable
2,40,unstable
27,14,unstable
6,28,unstable
4,41,hell
22,55,hell
19,9,unstable
14,45,hell
30,55,hell
29,6,unstable
3,47,hell
29,19,hell
11,56,hell
29,56,hell
5,50,hell
6,41,hell
0,38,unstable
6,10,unstable
1,39,unstable
3,24,unstable
0,27,unstable
0,38,unstable
29,8,unstable
29,53,hell
14,38,hell
12,59,hell
3,22,unstable
1,25,unstable
